"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 19 09:28:12 GMT 2025","Sat Jul 19 09:28:12 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Sat Jul 19 09:28:02 GMT 2025","Sat Jul 19 09:28:05 GMT 2025","3037","tests.authentication","test_succesful_authorization","TestSuccessfulReg","","","Successful registration with dashboard and login check",""
"passed","Sat Jul 19 09:28:08 GMT 2025","Sat Jul 19 09:28:12 GMT 2025","3777","tests.courses","test_edit_course","TestEditCourses","","","Creating course and editing it",""
"passed","Sat Jul 19 09:28:07 GMT 2025","Sat Jul 19 09:28:09 GMT 2025","2463","tests.courses","test_create_courses","TestCourses","","","Creating course",""
"passed","Sat Jul 19 09:27:58 GMT 2025","Sat Jul 19 09:28:00 GMT 2025","2049","tests.authentication","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Sat Jul 19 09:28:00 GMT 2025","Sat Jul 19 09:28:02 GMT 2025","1507","tests.authentication","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Sat Jul 19 09:28:12 GMT 2025","Sat Jul 19 09:28:12 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Sat Jul 19 09:28:12 GMT 2025","Sat Jul 19 09:28:12 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Sat Jul 19 09:28:12 GMT 2025","Sat Jul 19 09:28:12 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Sat Jul 19 09:28:12 GMT 2025","Sat Jul 19 09:28:12 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Sat Jul 19 09:28:06 GMT 2025","Sat Jul 19 09:28:08 GMT 2025","1518","tests.courses","test_create_courses","TestCourses","","","Check empty course page",""
"passed","Sat Jul 19 09:28:10 GMT 2025","Sat Jul 19 09:28:12 GMT 2025","2239","tests.dashboard","test_dashboard","TestDashboard","","","Checking dashboard",""
"passed","Sat Jul 19 09:27:58 GMT 2025","Sat Jul 19 09:28:00 GMT 2025","2046","tests.authentication","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Sat Jul 19 09:28:00 GMT 2025","Sat Jul 19 09:28:02 GMT 2025","1356","tests.authentication","test_empty_reg","TestEmptyReg","","","Successful registration",""
"passed","Sat Jul 19 09:28:02 GMT 2025","Sat Jul 19 09:28:04 GMT 2025","1700","tests.authentication","test_registration","TestRegistration","","","Another successful registration",""
